product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,pageUrl,scrape_date,supplier
ZULU COUNTER STOOL,ZULU COUNTER STOOL,upholstery,Bar & Counter Stools,"
				<p></p><p></p>



Zulu is the largest ethnic group in South Africa and the one who inspired the ZULU Counter Stool. Upholstered in cotton velvet, this button-tufted counter stool is full of personality, with legs in ash walnut stain matte varnish and aged brass details. This brown velvet counter stool will make an unforgettable impact on any modern kitchen or bar design.



<br><p></p>			",https://www.brabbu.com/resources/images/products/242/gallery/zulu-counter-stool-1-HR.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter-min%20(3).jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,https://www.brabbu.com/resources//images/products/242/gallery/previews/zulu%20counter.jpg,,,https://www.brabbu.com/product/upholstery/zulu/counter-stool/,20/04/2023,brabbu
BOURBON BAR CHAIR,BOURBON BAR CHAIR,upholstery,Bar & Counter Stools,,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-5.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-2.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-3.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-4.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-5.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-6.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-7.jpg,https://www.brabbu.com/resources/images/products/222/gallery/bourbon-bar-chair-8.jpg,,,https://www.youtube.com/embed/E6pzbsPdQOs?showinfo=0,IN STOCK,https://www.brabbu.com/home/product/upholstery/bourbon/bar-chair,20/04/2023,brabbu
CAYO BAR CHAIR,CAYO BAR CHAIR,upholstery,Bar & Counter Stools,"





The Cuban Cayo Island is a nature’s wonder with beautiful landscapes and an impressive green sea. This beautiful scenario inspired the design of the CAYO Bar Chair. This high back bar chair has legs in ebony wood veneer gloss with a glossy aged brass finish with a green moss velvet upholstery. The CAYO High Back Bar Chair will bring unique nature beauty into your bar design.




<br>",https://www.brabbu.com/resources/images/products/627/gallery/cayo-bar-chair-1.jpg,,,,,,,,,,https://www.youtube.com/embed/E6pzbsPdQOs?showinfo=0,IN STOCK,https://www.brabbu.com/home/product/upholstery/cayo/bar-chair,20/04/2023,brabbu
DUKONO BAR CHAIR,DUKONO BAR CHAIR,upholstery,Bar & Counter Stools,"
				<p>

























As one of Indonesia’s most active volcanoes, Dukono embodies an unpredictable strength. Just like DUKONO Bar chair upholstered in green velvet with a nail trim in aged gold and legs in black lacquer matte with brushed aged brass details. This velvet bar chair is perfect to add a touch of strength and fierceness to your modern design.





























<br></p>			",https://www.brabbu.com/resources/images/products/757/gallery/1_540x505.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/2_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,https://www.brabbu.com/resources//images/products/757/gallery/previews/3_167x93.jpg,,In Stock,https://www.brabbu.com/product/upholstery/dukono/bar-chair/,20/04/2023,brabbu
KAROO BAR CHAIR,KAROO BAR CHAIR,upholstery,Bar & Counter Stools,"
				<p></p><p></p>







A semi-desert area in South Africa was the perfect environment to be the theme for KAROO Bar Chair, a modern contemporary bar chair with the same name as this vast African landscape. The KAROO Bar Chair upholstered in satin has legs in ash walnut stain matte and brushed aged brass matte. This satin bar chair is the modern contemporary accent chair that will elevate your bar design.






<br><p></p>			",https://www.brabbu.com/resources/images/products/228/gallery/540x505%20-%20KAROO%20BAR%20CHAIR%201%20.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%202.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,https://www.brabbu.com/resources//images/products/228/gallery/previews/167x93%20-%20-KAROO%20BAR%20CHAIR%203.jpg,,,https://www.brabbu.com/product/upholstery/karoo/bar-chair/,20/04/2023,brabbu
MALAY BAR CHAIR,MALAY BAR CHAIR,upholstery,Bar & Counter Stools,"

",https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-9.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-2.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-3.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-13.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-14.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-5.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-4.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-6.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-8.jpg,https://www.brabbu.com/resources/images/products/140/gallery/malay-bar-chair-7.jpg,https://www.youtube.com/embed/j36dtK_DdP8?showinfo=0,IN STOCK,https://www.brabbu.com/home/product/upholstery/malay/bar-chair,20/04/2023,brabbu
N20 BAR CHAIR,N20 BAR CHAIR,upholstery,Bar & Counter Stools,,https://www.brabbu.com/resources/images/products/141/gallery/5.jpg,https://www.brabbu.com/resources/images/products/141/gallery/3.jpg,https://www.brabbu.com/resources/images/products/141/gallery/2.jpg,https://www.brabbu.com/resources/images/products/141/gallery/4.jpg,https://www.brabbu.com/resources/images/products/141/gallery/5.jpg,https://www.brabbu.com/resources/images/products/141/gallery/6.jpg,https://www.brabbu.com/resources/images/products/141/gallery/7.jpg,https://www.brabbu.com/resources/images/products/141/gallery/8.jpg,,,https://www.youtube.com/embed/fkz6-yCbrmQ?showinfo=0,IN STOCK,https://www.brabbu.com/home/product/upholstery/n20/bar-chair,20/04/2023,brabbu
NAJ BAR CHAIR,NAJ BAR CHAIR,upholstery,Bar & Counter Stools,,https://www.brabbu.com/resources/images/products/142/gallery/11.jpg,https://www.brabbu.com/resources/images/products/142/gallery/04.jpg,https://www.brabbu.com/resources/images/products/142/gallery/05.jpg,https://www.brabbu.com/resources/images/products/142/gallery/01.jpg,https://www.brabbu.com/resources/images/products/142/gallery/07.jpg,https://www.brabbu.com/resources/images/products/142/gallery/08.jpg,https://www.brabbu.com/resources/images/products/142/gallery/03.jpg,https://www.brabbu.com/resources/images/products/142/gallery/06.jpg,https://www.brabbu.com/resources/images/products/142/gallery/10.jpg,https://www.brabbu.com/resources/images/products/142/gallery/09.jpg,https://www.youtube.com/embed/aUjab9pYuWs?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,https://www.brabbu.com/home/product/upholstery/naj/bar-chair,20/04/2023,brabbu
NANOOK BAR CHAIR,NANOOK BAR CHAIR,upholstery,Bar & Counter Stools,"
				<p></p><p></p>





Nanook is the master of bears, the one who decides the luck of the hunters in the Arctic regions. NANOOK Bar Chair blends the beauty and grandiosity of this animal. This high back bar chair with a backrest has a strong presence balanced with the elegance given by the golden nailhead trim and the button detailing on the inner back. Upholstered in navy blue velvet, it features legs in ash with walnut stain matte varnish.





<br><p></p>			",https://www.brabbu.com/resources/images/products/143/gallery/PRESS-540X505-1.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-2.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,https://www.brabbu.com/resources//images/products/143/gallery/previews/167x93_thumbnail%20pag%20produto-3.jpg,,In Stock,https://www.brabbu.com/product/upholstery/nanook/bar-chair/,20/04/2023,brabbu
NUKA BAR CHAIR,NUKA BAR CHAIR,upholstery,Bar & Counter Stools,,https://www.brabbu.com/resources/images/products/236/gallery/01.jpg,https://www.brabbu.com/resources/images/products/236/gallery/02.jpg,https://www.brabbu.com/resources/images/products/236/gallery/03.jpg,https://www.brabbu.com/resources/images/products/236/gallery/04.jpg,https://www.brabbu.com/resources/images/products/236/gallery/05.jpg,https://www.brabbu.com/resources/images/products/236/gallery/01.jpg,https://www.brabbu.com/resources/images/products/236/gallery/nuka%20bar%20+%20panji.jpg,https://www.brabbu.com/resources/images/products/236/gallery/nuka%20bar.jpg,https://www.brabbu.com/resources/images/products/236/gallery/nuka%20bar-min.jpg,,https://www.youtube.com/embed/fkz6-yCbrmQ?showinfo=0,LEAD TIME: 4 TO 6 WEEKS,https://www.brabbu.com/home/product/upholstery/nuka/bar-chair,20/04/2023,brabbu
