product_code,product_name,category1,category2,description,image1,image2,image3,image4,image5,imageUrl6,imageUrl7,imageUrl8,imageUrl9,imageUrl10,video,availability,pageUrl,scrape_date,supplier
PEARL CLASSIC,PEARL CLASSIC,softgoods,Pillows,"
				<p></p><div><div><div><div><p></p><div><div><div><div><p></p></div></div></div></div>

</div></div></div></div>

The pearl, created in oysters, has always been appreciated throughout the history of humankind. Our designers were inspired by this timeless gemstone that is also a result of a natural phenomenon, and they represented it in this classic pillow.

<br><p></p>			",https://www.brabbu.com/resources/images/products/579/gallery/BN04.jpg,https://www.brabbu.com/resources//images/products/579/gallery/previews/NB04_MG_1622.jpg,,,,,,,,,,In Stock,https://www.brabbu.com/product/pillows/pearl/classic/,20/04/2023,brabbu
STUMP CLASSIC,STUMP CLASSIC,softgoods,Pillows,"
				<p>





This classic pillow is inspired by a tree stump with irregular forms. This classic pillow will keep you grounded, rooted in nature, and help you recharge your energies after a long day.



<br></p>			",https://www.brabbu.com/resources/images/products/508/gallery/N05.jpg,https://www.brabbu.com/resources//images/products/508/gallery/previews/N05_MG_1610.jpg,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/stump/classic/,20/04/2023,brabbu
VERSAILLES ORANGE CLASSIC,VERSAILLES ORANGE CLASSIC,softgoods,Pillows,"
				<p>





This classic orange pillow is an interlacement with the palace frames that surround the royal paintings and the refinement that characterises Versailles. It will fit into any classic or modern interior home decor, giving a splendid pop of colour to your room.




<br></p>			",https://www.brabbu.com/resources/images/products/463/gallery/M004.jpg,https://www.brabbu.com/resources//images/products/463/gallery/previews/M004_MG_1569.jpg,,,,,,,,,,In Stock,https://www.brabbu.com/product/pillows/versailles-orange/classic/,20/04/2023,brabbu
VERSAILLES YELLOW CLASSIC,VERSAILLES YELLOW CLASSIC,softgoods,Pillows,"
				<p>







This classic yellow pillow is an interlacement with the palace frames that surround the royal paintings and the refinement that characterises Versailles. It will fit into any classic or modern interior home decor, giving a splendid pop of colour to your room.





<br></p>			",https://www.brabbu.com/resources/images/products/461/gallery/Y016.jpg,https://www.brabbu.com/resources//images/products/461/gallery/previews/Y16_MG_1587.jpg,,,,,,,,,,In Stock,https://www.brabbu.com/product/pillows/versailles-yellow/classic/,20/04/2023,brabbu
ALBUS YELLOW ECLECTIC,ALBUS YELLOW ECLECTIC,softgoods,Pillows,"
				<p>



From the great heights to the many mysteries hiding behind every crate and crevice, the ALBUS Yellow Pillow represents the beauty of the white peaks and the surrounding valleys of the Alps Mountains. A serene and dynamic pattern that joins forces with the soft velvet will enhance the design of every room decor.



<br></p>			",https://www.brabbu.com/resources/images/products/479/gallery/Y020_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/albus-yellow/eclectic/,20/04/2023,brabbu
LUWAK ECLECTIC,LUWAK ECLECTIC,softgoods,Pillows,"
				<p>



Kopi Luwak is the name of a special coffee bean from Indonesia. The colour of these coffee beans gave inspiration for the LUWAK Pillow, a strong brown velvet pillow.



<br></p>			",https://www.brabbu.com/resources/images/products/485/gallery/M007_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/luwak/eclectic/,20/04/2023,brabbu
MARMUR ORANGE ECLECTIC,MARMUR ORANGE ECLECTIC,softgoods,Pillows,"
				<p>



Since marble is one of the most beautiful and elegant raw materials in the world of design, this MARMUR Orange Pillow was inspired by the natural patterns of the stone. When contrasted with different colours, the design rises to the level of being a focal point in any interior design project.



<br></p>			",https://www.brabbu.com/resources/images/products/489/gallery/M012_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/marmur-orange/eclectic/,20/04/2023,brabbu
MARMUR WHITE ECLECTIC,MARMUR WHITE ECLECTIC,softgoods,Pillows,"
				<p>










</p><p>



Since marble is one of the most beautiful and elegant raw materials in the world of design, this MARMUR White Pillow was inspired by the natural patterns of the stone. When contrasted with different colors, the design rises to the level of being a focal point in any interior design project.



</p><p></p>			",https://www.brabbu.com/resources/images/products/528/gallery/BN02_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/marmur-white/eclectic/,20/04/2023,brabbu
PARDUS YELLOW ECLECTIC,PARDUS YELLOW ECLECTIC,softgoods,Pillows,"
				<p>



This modern and contemporary yellow pillow shares the tenacity and pattern of one of the fiercest animals in the animal kingdom, the leopard. Like the Panthera Pardus, this product has the strength and a high ability to fit and adapt to any special environment, making it unique with its exclusive design.



<br></p>			",https://www.brabbu.com/resources/images/products/527/gallery/Y_08_540X505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/pardus-yellow/eclectic/,20/04/2023,brabbu
PARDUS BLACK ECLECTIC,PARDUS BLACK ECLECTIC,softgoods,Pillows,"
				<p>










</p><p>









</p><p></p>



This modern and contemporary black pillow shares the tenacity and pattern of one of the fiercest animals in the animal kingdom, the leopard. Like the Panthera Pardus, this product has the strength and a high ability to fit and adapt to any special environment, making it unique with its exclusive design.

<br><p></p><p></p>			",https://www.brabbu.com/resources/images/products/530/gallery/BW04_540x505.jpg,,,,,,,,,,,Made by Order,https://www.brabbu.com/product/pillows/pardus-black/eclectic/,20/04/2023,brabbu
